"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
8.249624982E-3,-2.025338092E-1,2.790419948E-1,-2.834112682E0,2.855009470E0
1.820062497E-2,8.046792001E-2,-6.205533028E-2,-1.734230953E0,1.737205500E0
2.815262496E-2,5.277866417E-1,5.720857322E-2,1.268565715E0,1.375169274E0
3.810462495E-2,5.099985346E-1,1.984346187E-1,2.379019210E0,2.441148747E0
4.805662500E-2,2.521787167E-2,3.451979774E-1,1.884890311E0,1.916405247E0
5.801137496E-2,-6.810189213E-1,4.857089084E-1,1.125716482E0,1.402475495E0
6.796337495E-2,-1.165825312E0,4.121982980E-1,2.937296158E-1,1.270957585E0
7.791437500E-2,-1.564254002E0,5.832235086E-1,-1.307080740E-1,1.674552132E0
8.786637499E-2,-1.568751242E0,9.495720345E-1,-2.560647762E-1,1.851549804E0
9.781837498E-2,-1.070590687E0,9.273531997E-1,-3.150012016E-1,1.450990742E0
1.077703750E-1,-5.838979849E-1,8.689687514E-1,-5.800718594E-1,1.196882162E0
1.177223750E-1,-4.037132572E-1,8.961425167E-1,-6.236271840E-1,1.164030356E0
1.276733750E-1,-5.115610568E-1,9.387809980E-1,-3.553078133E-1,1.126609124E0
1.376253750E-1,-7.455869463E-1,8.555026138E-1,2.951867419E-1,1.172569755E0
1.475773750E-1,-1.232113295E0,6.882634753E-1,1.068468733E0,1.770151185E0
1.575293750E-1,-1.669775925E0,5.769839448E-1,1.713568647E0,2.461174439E0
1.674813750E-1,-1.525598205E0,2.968719095E-1,2.223968593E0,2.713230384E0
1.774323750E-1,-1.273960210E0,6.526969090E-1,1.676986127E0,2.204828869E0
1.873843750E-1,-5.171438321E-1,8.433912760E-1,1.445724070E0,1.751817535E0
1.973363750E-1,7.159165661E-1,7.659747255E-1,1.321968920E0,1.687262764E0
2.072883750E-1,1.382207959E0,5.760863972E-1,8.990532607E-1,1.746617057E0
2.172403750E-1,7.552385066E-1,2.878639814E-1,1.137509732E0,1.395413653E0
2.271913750E-1,-2.803462163E-2,5.369275939E-1,2.522128059E0,2.578799552E0
