"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.237795834E-2,-1.747125087E0,-9.091022855E-1,-1.420899716E0,2.428552869E0
2.232895832E-2,-1.662097362E0,-1.239318527E0,-7.700005335E-1,2.211646191E0
3.228095832E-2,-8.443956815E-1,-1.130063887E0,-2.208540130E-1,1.427874277E0
4.223195830E-2,-1.722428933E-1,-1.208715370E0,8.229523337E-1,1.472382764E0
5.218395829E-2,1.693878441E-1,-1.096679209E0,1.759838249E0,2.080487489E0
6.213495834E-2,4.644064420E-1,-8.045882758E-1,2.214384422E0,2.401360865E0
7.208695833E-2,4.084197907E-1,-5.234301737E-1,2.431133105E0,2.520157544E0
8.203795832E-2,1.313073405E-1,-2.714806679E-1,2.892152730E0,2.907832661E0
9.198895830E-2,-2.252123448E-1,-1.776509830E-1,3.425603569E0,3.437592222E0
1.019409583E-1,-7.000628641E-1,-2.422989687E-1,3.605742250E0,3.681056095E0
1.118919583E-1,-1.307020075E0,-1.673034579E-1,3.506632529E0,3.746033051E0
1.218439583E-1,-1.815488686E0,-2.523015082E-2,3.293931289E0,3.761199153E0
1.317949583E-1,-1.680919695E0,-8.246825248E-2,2.963208094E0,3.407769688E0
1.417459583E-1,-1.008648647E0,-2.147787559E-1,2.409866197E0,2.621251055E0
1.516979583E-1,-2.003591567E-1,-9.764850140E-4,1.920608613E0,1.931031380E0
1.616489583E-1,4.863686936E-1,2.104524010E-1,1.306663833E0,1.410040812E0
1.716009583E-1,1.002736820E0,1.968377441E-1,7.195887637E-1,1.249813672E0
1.815519583E-1,1.434914907E0,1.649783126E-1,7.128749907E-1,1.610710833E0
1.915039583E-1,1.713209043E0,2.662412703E-1,9.876543653E-1,1.995352296E0
2.014549583E-1,1.921800860E0,5.885631859E-1,6.081455112E-1,2.099896696E0
2.114059583E-1,1.797850852E0,8.808178416E-1,-1.061038091E0,2.265813229E0
2.213579583E-1,2.072862215E0,7.175486702E-1,8.221962887E-1,2.342571363E0
2.313089583E-1,1.713574348E0,5.718652922E-1,1.628358343E0,2.432060413E0
2.412609583E-1,2.516612088E0,3.727453798E-1,1.843509566E0,3.141783417E0
2.512119583E-1,2.983047405E0,-4.522001235E-1,3.207196616E0,4.403313173E0
2.611629583E-1,9.816543180E-1,-1.083244501E0,3.376260670E0,3.679157507E0
2.711149583E-1,8.972584578E-1,-1.537488518E0,4.165583913E0,4.530014682E0
2.810659583E-1,1.272422100E0,-1.394904749E0,4.240106091E0,4.641477882E0
2.910179583E-1,2.196903732E0,-9.995274290E-1,2.869290116E0,3.749435539E0
3.009689583E-1,2.573873871E0,-5.505189351E-1,1.303894007E0,2.937352104E0
3.109209583E-1,1.994347703E0,-2.095017169E-1,-7.300190270E-2,2.006649698E0
3.208719583E-1,1.123525531E0,7.649510242E-2,-4.873870593E-1,1.227072640E0
3.308229583E-1,3.378665192E-1,3.325145627E-1,-9.382184958E-1,1.051177276E0
3.407749583E-1,-3.544995088E-2,4.607819358E-1,-1.761727484E0,1.821334791E0
3.507259583E-1,4.840299536E-2,4.710740586E-1,-2.266490130E0,2.315433248E0
3.606779583E-1,3.532918030E-1,4.875278676E-1,-2.646019449E0,2.713653892E0
3.706289583E-1,3.344153463E-1,5.394516177E-1,-3.121995082E0,3.185858592E0
3.805809583E-1,-1.781502987E-1,4.359956251E-1,-3.065282938E0,3.101256069E0
3.905319583E-1,-5.671632537E-1,5.655985388E-1,-1.656468832E0,1.839963275E0
4.004829583E-1,-5.752052218E-1,1.134090207E0,-1.178469477E0,1.733727762E0
4.104349583E-1,-4.273343273E-1,1.851744200E0,-1.473097225E0,2.404493012E0
4.203859583E-1,-7.116371351E-1,2.656140395E0,-1.980993394E0,3.389077166E0
4.303379583E-1,-6.372655222E-1,2.274711461E0,-3.199874148E0,3.977387854E0
4.402889583E-1,-1.389473855E-2,1.512753919E0,-3.601998863E0,3.906790664E0
4.502399583E-1,1.275432685E-1,3.490891533E-1,-2.907842563E0,2.931497722E0
4.601919583E-1,5.690827484E-1,-9.276340853E-1,-1.424301041E0,1.792482532E0
