"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.330333344E-3,1.110115819E0,-8.975008249E-2,-1.854516365E0,2.163248288E0
1.228233334E-2,8.122092444E-1,-2.515209049E-1,-2.240924349E0,2.396807994E0
2.223333332E-2,5.636482000E-1,-1.005019426E-2,-1.999333770E0,2.077290501E0
3.218133334E-2,2.439888141E-1,2.798769772E-2,-1.012517896E0,1.041876356E0
4.213333334E-2,-1.478731602E-1,-2.241910189E-1,2.994698274E-1,4.022564630E-1
5.208533333E-2,-2.825205034E-1,-3.122202659E-1,1.138659879E0,1.214020448E0
6.203633331E-2,-1.446443278E-1,-5.755999088E-1,1.592641211E0,1.699630331E0
7.198833337E-2,2.310635439E-1,-1.084470223E0,1.544372445E0,1.901197590E0
8.194033336E-2,4.616905931E-1,-1.298512230E0,1.248779322E0,1.859769343E0
9.189233335E-2,4.303243741E-1,-1.003650593E0,8.461271882E-1,1.381457491E0
1.018433333E-1,1.868506998E-1,-5.202641988E-1,3.920873845E-1,6.777319069E-1
1.117953333E-1,-3.449272513E-2,-1.391578853E-1,-9.392265558E-2,1.713946626E-1
1.217473333E-1,-2.691505525E-1,8.238785326E-2,-3.955933750E-1,4.855140539E-1
1.316993333E-1,-4.517152432E-1,1.623151982E-1,-4.083058065E-1,6.301638804E-1
1.416503334E-1,-5.053333336E-1,7.171493053E-2,-2.768434417E-1,5.806436950E-1
1.516023334E-1,-4.110557520E-1,-4.246540368E-3,-1.434953499E-1,4.354030085E-1
1.615543333E-1,-9.055348992E-2,-9.479535252E-2,-1.703282225E-1,2.149367274E-1
1.715063333E-1,2.894479921E-1,-1.673049197E-1,-3.273949599E-1,4.679300547E-1
1.814573333E-1,5.421661144E-1,-1.422446305E-1,-3.285456920E-1,6.497075513E-1
1.914093333E-1,6.721728149E-1,-1.530567169E-1,-1.526012188E-1,7.060664159E-1
2.013613333E-1,5.237440230E-1,1.007700375E-1,-4.626393038E-1,7.060435734E-1
2.113133334E-1,2.141440406E-1,2.387336290E-1,-3.084955895E-1,4.449954432E-1
2.212643333E-1,-5.264730647E-2,2.089490819E-1,-4.981359959E-2,2.211625023E-1
2.312163333E-1,-1.806872959E-1,2.214182693E-1,2.364742649E-1,3.709366884E-1
2.411683333E-1,-1.150293499E-3,3.348410967E-1,5.275609392E-1,6.248523248E-1
2.511193333E-1,9.586992458E-2,3.937719673E-1,4.788916397E-1,6.273632180E-1
2.610713333E-1,-5.913362280E-2,3.287208161E-1,3.618923628E-1,4.924634428E-1
2.710233334E-1,-2.935256942E-1,2.180213293E-1,5.522063684E-1,6.622858194E-1
2.809753334E-1,-2.678732282E-1,-1.124235383E-1,6.663054264E-1,7.268824111E-1
2.909263333E-1,-1.125165090E-2,-4.523636994E-1,6.880424505E-1,8.235058773E-1
3.008783333E-1,5.237643421E-1,-1.701022861E0,3.904870015E-1,1.822165733E0
3.108303333E-1,-7.155533078E-1,-2.590501891E0,-4.716451854E-1,2.728583105E0
3.207823333E-1,-1.844283445E0,4.515290093E-1,-4.493485826E-1,1.951198099E0
3.307333334E-1,2.244187680E-1,1.891752019E0,-6.681285882E-1,2.018783122E0
3.406853334E-1,7.670804340E-1,1.205101790E0,-8.090464854E-1,1.641718287E0
3.506373334E-1,9.193698500E-1,6.003155047E-1,-5.224937421E-1,1.215984925E0
3.605893333E-1,1.590624798E0,6.296533245E-1,2.526459092E-1,1.729271671E0
3.705403333E-1,1.648532260E0,9.306329030E-1,1.170495629E-2,1.893112046E0
3.804923333E-1,1.363050142E0,1.084105649E0,-7.372561258E-1,1.891226412E0
3.904443333E-1,1.240755334E0,9.553388509E-1,-9.517536306E-1,1.832479493E0
4.003963333E-1,1.279290970E0,9.628718188E-1,-8.276985186E-1,1.802440669E0
4.103473334E-1,1.020662044E0,1.141805681E0,-7.266586322E-1,1.695141289E0
4.202993333E-1,4.293856037E-1,1.184426621E0,-6.514149070E-1,1.418301730E0
4.302513333E-1,-1.609104046E-1,1.204126475E0,-5.362177420E-1,1.327908955E0
4.402033333E-1,-5.388346633E-1,1.206196682E0,-1.572795761E-1,1.330409747E0
4.501543333E-1,-3.365591548E-1,1.085554297E0,5.469760340E-1,1.261302096E0
4.601063333E-1,4.104727846E-1,1.602494938E0,-6.522639227E-1,1.778180576E0
4.700583334E-1,7.548069821E-1,1.364991564E0,-1.495027208E0,2.160565181E0
4.800103334E-1,9.906737213E-1,1.001587403E0,-1.327923140E0,1.935973041E0
4.899613333E-1,1.312710293E0,1.306516776E0,-1.529334576E0,2.401886476E0
4.999133333E-1,1.599037334E0,1.861256450E0,-1.045801417E0,2.667376346E0
5.098653333E-1,1.237177423E0,1.917016084E0,-4.683660668E-1,2.329146928E0
5.198163333E-1,8.228910841E-1,1.871472998E0,1.940690875E-1,2.053588013E0
5.297683334E-1,8.033463272E-1,2.201432547E0,6.601529860E-1,2.434640126E0
5.397203334E-1,7.804169096E-1,2.829661782E0,5.324538893E-1,2.983210267E0
5.496723333E-1,1.201201113E0,2.966289869E0,-9.312918842E-2,3.201629702E0
5.596233333E-1,1.087731800E0,2.476132984E0,-8.656206357E-1,2.839664436E0
5.695753333E-1,1.318945910E0,2.100261683E0,-1.327528453E0,2.813014263E0
5.795273333E-1,2.186601669E0,1.788051649E0,-1.146439599E0,3.048389626E0
5.894793333E-1,1.957489926E0,1.783568004E0,-7.001520342E-1,2.739177706E0
5.994303334E-1,1.470370230E0,2.042085395E0,-1.403641659E-1,2.520278452E0
6.093823334E-1,8.705162171E-1,1.449583232E0,4.602887231E-1,1.752414261E0
6.193343333E-1,7.694146425E-1,6.007063910E-1,4.785577637E-1,1.087135959E0
6.292863333E-1,7.976606409E-1,-4.585015216E-1,6.491403401E-2,9.223339825E-1
6.392373333E-1,5.140891005E-1,-8.149001330E-2,-1.011624441E0,1.137678441E0
6.491893333E-1,3.889890911E-1,6.849694464E-1,-1.988946192E0,2.139252816E0
6.591413334E-1,5.996400051E-1,8.867323002E-1,-2.483822365E0,2.704669268E0
6.690933334E-1,5.810446899E-1,1.180339709E0,-2.588443086E0,2.903593011E0
6.790443333E-1,2.212374441E-1,9.158172280E-1,-2.552849915E0,2.721159659E0
