"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.410208367E-3,-1.013945640E0,6.729648203E-1,-1.944282235E0,2.293730764E0
1.536220836E-2,-1.120014862E0,6.715971565E-1,-1.693016853E0,2.138172607E0
2.531320835E-2,-8.977918701E-1,7.896676433E-1,-1.089962513E0,1.617907138E0
3.526520834E-2,-5.675364523E-1,7.400177658E-1,-7.005917448E-1,1.166427328E0
4.521720833E-2,-3.000700441E-1,5.803343993E-1,-3.647171527E-1,7.482303442E-1
5.516820838E-2,-3.244951795E-1,4.774701816E-1,1.023251045E-1,5.862979813E-1
6.512020837E-2,-4.084378074E-1,3.159999061E-1,5.158033580E-1,7.298838861E-1
7.507120835E-2,-4.784147993E-1,-1.578982115E-2,7.586838323E-1,8.970681111E-1
8.502320835E-2,-4.448335820E-1,-2.664424145E-1,8.816659802E-1,1.022840836E0
9.497520834E-2,-3.280065056E-1,-4.328401387E-1,8.174220371E-1,9.813855716E-1
1.049262084E-1,-1.783476788E-1,-6.744704783E-1,6.764971232E-1,9.717853047E-1
1.148782084E-1,-2.529728416E-1,-8.881189674E-1,7.311159647E-1,1.177828983E0
1.248292084E-1,-2.958952783E-1,-9.765890944E-1,1.030553048E0,1.450282682E0
1.347812084E-1,-3.450630529E-1,-8.956724006E-1,1.129368069E0,1.482150395E0
1.447332083E-1,-3.185869335E-1,-6.664229554E-1,1.019936843E0,1.259320592E0
1.546842083E-1,1.315787975E-2,-4.495187366E-1,9.604414237E-1,1.060513061E0
1.646362083E-1,4.362383211E-1,-1.932732815E-1,7.678323859E-1,9.040049817E-1
1.745868333E-1,6.822017399E-1,1.035939503E-1,6.140640628E-1,9.236912870E-1
1.845388333E-1,6.030180877E-1,3.373913598E-1,4.773339415E-1,8.398282178E-1
1.944908334E-1,3.197614930E-1,5.140585488E-1,8.497056842E-2,6.113293723E-1
2.044418334E-1,5.217143448E-2,7.071587527E-1,-3.739206702E-1,8.016308550E-1
2.143938334E-1,-2.126600173E-1,9.163224274E-1,-5.525548625E-1,1.090957355E0
2.243448333E-1,-3.250823496E-1,8.192919767E-1,-8.708866382E-1,1.239097015E0
2.342968333E-1,-1.747932477E-1,2.640169895E-1,-9.567635250E-1,1.007796653E0
2.442488333E-1,-2.499415171E-2,-2.467641950E-1,-7.507918453E-1,7.906994818E-1
2.541998334E-1,2.540846349E-1,-4.054324847E-1,-1.432018197E-1,4.994409500E-1
2.641518334E-1,4.528455099E-1,-1.328469855E-1,6.551360750E-1,8.074160354E-1
2.741028334E-1,6.359004897E-1,2.633802277E-1,7.814476275E-1,1.041344790E0
2.840548333E-1,6.891083980E-1,8.601727849E-1,9.053594828E-2,1.105877191E0
2.940068333E-1,4.427574550E-1,2.019796101E0,-1.808619815E-1,2.075649660E0
3.039578333E-1,6.396230464E-1,1.950220667E0,-7.392997277E-1,2.181522950E0
3.139098334E-1,6.994709066E-1,1.565312202E0,-5.561134779E-1,1.802421715E0
3.238608334E-1,8.931169481E-1,1.201250814E0,2.983483315E-2,1.497181191E0
3.338128334E-1,5.959254152E-1,8.032030705E-1,1.817092431E-1,1.016504069E0
3.437648333E-1,-9.185478777E-2,2.724556911E-1,-2.007430995E-1,3.506667900E-1
3.537158333E-1,-1.212621894E-1,-3.477941412E-1,-4.569008464E-1,5.868761936E-1
3.636678333E-1,3.095355168E-1,-1.013380945E0,-4.315514123E-1,1.144110920E0
3.736188334E-1,6.315255298E-1,-1.483932116E0,-4.640999383E-1,1.678173940E0
3.835708334E-1,7.123292993E-1,-1.813305774E0,-4.687420428E-1,2.003798883E0
3.935228334E-1,6.594604564E-1,-1.844923423E0,-3.299303126E-1,1.986827758E0
4.034738333E-1,4.845299636E-1,-1.454403092E0,-1.215472412E-1,1.537800823E0
4.134258333E-1,4.767008342E-2,-8.505403742E-1,-5.463229001E-2,8.536252410E-1
4.233768334E-1,-1.966868860E-1,-5.552571532E-1,-1.578631282E-2,5.892753558E-1
4.333288334E-1,-1.754073333E-1,-7.366988862E-1,-1.744926095E-1,7.771361864E-1
4.432808334E-1,1.944960804E-1,-6.258222288E-1,-3.485057473E-1,7.422522774E-1
4.532318334E-1,2.936260470E-1,-2.533823660E-1,-1.001860760E0,1.074310878E0
4.631838333E-1,-5.301816612E-2,2.264860511E-2,-8.278248185E-1,8.298299918E-1
4.731348333E-1,-8.876292631E-1,3.135218561E-2,-9.501140714E-2,8.932501530E-1
4.830868334E-1,-1.706439722E0,1.036796120E-1,2.822211260E-1,1.732724661E0
4.930388334E-1,-1.185768484E0,-3.474713749E-1,-4.132233149E-1,1.302895529E0
5.029898334E-1,-2.416603066E-1,-6.320638391E-1,9.454035544E-1,1.162623018E0
5.129418334E-1,9.984816911E-2,3.480783159E-1,4.539485872E-1,5.806870850E-1
5.228928333E-1,-1.153004780E-1,3.792545003E-1,-1.957817370E-1,4.421070738E-1
5.328448333E-1,4.427013217E-1,7.049897280E-1,3.917991167E-1,9.200551748E-1
5.427968334E-1,1.262953119E0,1.159059645E0,3.193813509E-1,1.743695584E0
5.527478334E-1,1.305615135E0,1.023172400E0,-4.254983747E-1,1.712472338E0
5.626998334E-1,1.388395044E0,1.142638324E0,-8.312641507E-1,1.980975322E0
5.726508333E-1,1.412621082E0,1.022626270E0,-2.862527812E-1,1.767258743E0
5.826028333E-1,1.153785603E0,5.152885106E-1,3.315149081E-1,1.306386467E0
5.925548333E-1,4.178804394E-1,7.145999193E-2,4.850791633E-1,6.442300729E-1
6.025058334E-1,-5.247177671E-1,3.878575087E-2,1.084414090E0,1.205316136E0
6.124578334E-1,-1.175505158E0,-4.561243361E-1,8.972517335E-1,1.547553702E0
6.224088334E-1,-1.006637936E0,-1.418497095E0,4.476119596E-1,1.796054122E0
6.323608333E-1,-2.574199780E-1,-6.335946402E-1,4.333663881E-1,8.096379682E-1
6.423128333E-1,1.844445523E-1,-2.743808869E-1,3.481519908E-1,4.801192275E-1
6.522638333E-1,-9.316234396E-2,-7.431518734E-2,7.617927969E-1,7.710578673E-1
6.622158334E-1,-5.832606750E-2,1.993406448E-1,6.477843708E-1,6.802670166E-1
6.721668334E-1,5.711520050E-2,3.700439662E-2,9.806365371E-3,6.875780900E-2
6.821188334E-1,-5.569642844E-2,-1.827061933E-1,-4.103704584E-1,4.526450688E-1
6.920708333E-1,-3.332142186E-1,-3.847035205E-1,-4.795465279E-1,6.992806208E-1
7.020218333E-1,-5.628500916E-1,-5.029067391E-1,-5.049234438E-1,9.081096288E-1
7.119738333E-1,-7.133113392E-1,-4.486776146E-1,-6.603143692E-2,8.452720385E-1
7.219248334E-1,-7.026614399E-1,-2.776211214E-1,3.868985653E-1,8.488209976E-1
7.318768334E-1,-5.837558976E-1,-2.908273503E-1,1.877751446E-1,6.786832844E-1
7.418288334E-1,-4.724227189E-1,-3.758528826E-1,9.160832763E-2,6.106068296E-1
7.517798333E-1,-3.669819986E-1,-3.499695978E-1,2.161376488E-1,5.512440384E-1
7.617318333E-1,-1.682015902E-1,-3.344405624E-1,1.493115753E-1,4.030337594E-1
7.716828334E-1,1.781640762E-1,-2.479853860E-1,5.821546376E-2,3.108508162E-1
7.816348334E-1,2.728574862E-1,-5.871013820E-2,2.043239343E-1,3.458993470E-1
7.915868334E-1,1.441433676E-1,9.030030549E-2,2.510028416E-1,3.032060060E-1
8.015378334E-1,-8.291245814E-2,6.035115927E-2,9.587036312E-2,1.403847024E-1
8.114898333E-1,-2.737136830E-1,-5.547955155E-2,-1.591027379E-3,2.792842500E-1
8.214408333E-1,-4.192595783E-1,-9.549760312E-2,-1.579800725E-2,4.302882328E-1
8.313928334E-1,-6.145094745E-1,-1.797951570E-1,9.274327219E-2,6.469540225E-1
8.413448334E-1,-7.553077962E-1,-3.076702550E-1,1.698896813E-1,8.330746405E-1
8.512958334E-1,-5.176019980E-1,-3.467714632E-1,2.169258535E-1,6.597113778E-1
8.612478334E-1,2.618054263E-3,-2.102749380E-1,2.546667069E-1,3.302688835E-1
8.711988333E-1,5.551907873E-1,1.500220120E-2,2.419811726E-1,6.058190854E-1
8.811508333E-1,8.779756562E-1,3.049553928E-1,1.697084177E-1,9.447962699E-1
8.911028334E-1,9.516466266E-1,5.518224987E-1,6.989176869E-3,1.100085551E0
